id,a,op,b,answer,difficulty
1,15,-,7,8,1
2,8,*,4,32,1
3,27,/,9,3,1
4,2,+,10,12,1
5,10,*,7,70,1
6,3,+,4,7,1
7,7,-,1,6,1
8,80,/,10,8,1
9,6,+,9,15,1
10,24,/,12,2,1
11,1,*,3,3,1
12,2,+,1,3,1
13,27,/,3,9,1
14,7,*,8,56,1
15,3,-,1,2,1
16,8,/,4,2,2
17,11,-,7,4,2
18,20,+,17,37,2
19,15,-,9,6,2
20,30,/,5,6,2
21,63,/,9,7,2
22,8,*,7,56,2
23,1,*,2,2,2
24,20,-,5,15,2
25,18,/,2,9,2
26,15,-,8,7,2
27,16,-,10,6,2
28,6,*,10,60,2
29,4,*,2,8,2
30,10,-,7,3,2
31,18,/,6,3,3
32,43,+,25,68,3
33,36,/,3,12,3
34,32,+,41,73,3
35,44,/,11,4,3
36,45,-,20,25,3
37,38,+,36,74,3
38,5,/,1,5,3
39,26,+,28,54,3
40,36,+,25,61,3
41,35,-,14,21,3
42,11,*,3,33,3
43,40,-,13,27,3
44,3,*,11,33,3
45,4,/,1,4,3
