id,a,op,b,answer,difficulty
1,12,+,12,24,2
2,4,x-,7,12,2
3,4,x+,6,2,3
4,21,+,13,34,3
5,5,x+,3,7,1
6,3,x+,2,8,1
7,39,-,11,28,3
8,10,-,1,9,1
9,3,x+,3,5,2
10,6,x-,5,1,3
11,33,-,6,27,3
12,2,x-,7,8,1
13,45,+,13,58,3
14,11,*,7,77,2
15,6,*,11,66,2
16,5,x+,15,7,2
17,2,*,6,12,1
18,15,+,11,26,3
19,6,+,10,16,2
20,5,x-,6,8,1
21,46,+,2,48,3
22,7,x+,5,12,2
23,12,*,9,108,3
24,7,-,3,4,1
25,1,x+,10,9,1
26,1,*,2,2,1
27,12,*,8,96,3
28,12,*,2,24,2
29,2,x-,6,8,2
30,7,-,2,5,1
31,10,-,3,7,2
32,8,+,11,19,2
33,1,+,2,3,1
34,14,+,8,22,2
35,9,x+,6,10,3
36,2,x-,8,3,2
37,5,x-,2,8,1
38,2,+,9,11,1
39,4,x-,17,12,3
40,8,x+,9,9,3
41,10,x-,20,6,3
42,3,x-,2,10,1
43,6,x+,8,2,2
44,3,x-,10,6,1
45,1,*,9,9,1
46,5,x+,8,11,3
47,7,x-,13,11,3
48,6,x-,15,5,2
